MonthYear,Price Per Gallon
Sep-201,1.111
Aug-201,1.123
Jul-201,1.154
Jun-201,1.192
May-201,1.178
Apr-201,1.111
Mar-201,1.072
Feb-201,1.073
Jan-201,1.082
Dec-201,1.091
Nov-201,1.116
Oct-201,1.114
Sep-201,1.144
Aug-201,1.155
Jul-201,1.106
Jun-201,1.078
May-201,1.047
Apr-201,1.027
Mar-201,1.008
Feb-201,1.009
Jan-201,0.998
Dec-201,1.014
Nov-201,1.066
Oct-201,1.092
Sep-201,1.05
Aug-201,1.062
Jul-201,1.078
Jun-201,1.097
May-201,1.1
Apr-201,1.078
Mar-201,1.052
Feb-201,1.054
Jan-201,1.062
Dec-201,1.078
Nov-201,1.111
Oct-201,1.114
Sep-201,1.122
Aug-201,1.122
Jul-201,1.137
Jun-201,1.145
May-201,1.107
Apr-201,1.052
Mar-201,1.013
Feb-201,1.006
Jan-201,1.022
Dec-201,1.076
Nov-201,1.099
Oct-201,1.088
Sep-201,1.109
Aug-201,1.115
Jul-201,1.096
Jun-201,1.128
May-201,1.126
Apr-201,1.076
Mar-201,1.04
Feb-201,1.094
Jan-201,
Dec-201,
Nov-201,1.324
Oct-201,1.335
Sep-201,1.258
